model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Linear Classifier (Logistic Regression),9840de6,0.5753768844221105,0.0,0.0,0.0,0.2544080604534005,0.7455919395465995,0.0,0,168,229,1,0,1,168,398,1
Nearest Neighbors,9840de6,0.9974874371859297,0.0,0.0,0.0,0.4634760705289673,0.8035264483627204,0.0,0,0,397,1,0,1,0,398,1
Linear SVM,9840de6,0.49748743718592964,0.0,0.0,0.0,0.24181360201511337,0.7581863979848866,0.0,0,199,198,1,0,1,199,398,1
RBF SVM,9840de6,0.8190954773869347,0.0,0.0,0.0,0.7858942065491185,0.2141057934508816,0.0,0,71,326,1,0,1,71,398,1
Decision Tree,9840de6,0.9396984924623115,0.0,0.0,0.0,0.47103274559193953,0.9445843828715366,0.0,0,23,374,1,0,1,23,398,1
Random Forest,9840de6,0.9974874371859297,0.0,0.0,0.0,0.7191435768261965,0.29219143576826195,0.0,0,0,397,1,0,1,0,398,1
AdaBoost,9840de6,0.9974874371859297,0.0,0.0,0.0,0.22418136020151136,0.783375314861461,0.0,0,0,397,1,0,1,0,398,1
Naive Bayes,9840de6,0.0678391959798995,0.005361930294906166,0.002688172043010753,1.0,0.1448362720403023,0.853904282115869,0.0,1,371,26,0,1,0,371,398,1
Linear Classifier (Logistic Regression),2620a05,0.2419753086419753,0.1942257217847769,0.11044776119402985,0.8043478260869565,0.6025190747244762,0.9275766016713092,0.32608695652173914,37,298,61,9,37,9,298,405,46
Nearest Neighbors,2620a05,0.8740740740740741,0.0,0.0,0.0,0.480561947438537,0.8802228412256268,0.0,0,5,354,46,0,46,5,405,46
Linear SVM,2620a05,0.3012345679012346,0.2028169014084507,0.11650485436893204,0.782608695652174,0.5924064430180453,0.9610027855153204,0.2391304347826087,36,273,86,10,36,10,273,405,46
RBF SVM,2620a05,0.2814814814814815,0.20273972602739726,0.11598746081504702,0.8043478260869565,0.5965241613176698,0.9498607242339833,0.21739130434782608,37,282,77,9,37,9,282,405,46
Decision Tree,2620a05,0.4148148148148148,0.20735785953177258,0.1225296442687747,0.6739130434782609,0.5662468208792539,0.8523676880222841,0.13043478260869565,31,222,137,15,31,15,222,405,46
Random Forest,2620a05,0.8864197530864197,0.0,0.0,0.0,0.537059464696621,0.883008356545961,0.10869565217391304,0,0,359,46,0,46,0,405,46
AdaBoost,2620a05,0.8395061728395061,0.13333333333333333,0.1724137931034483,0.10869565217391304,0.5751786363085867,0.7688022284122563,0.17391304347826086,5,24,335,41,5,41,24,405,46
Naive Bayes,2620a05,0.8617283950617284,0.06666666666666667,0.14285714285714285,0.043478260869565216,0.5193169431997093,0.9554317548746518,0.15217391304347827,2,12,347,44,2,44,12,405,46
Linear Classifier (Logistic Regression),a2e0486,0.7654320987654321,0.14414414414414414,0.09195402298850575,0.3333333333333333,0.5594925634295713,0.9002624671916011,0.20833333333333334,8,79,302,16,8,16,79,405,24
Nearest Neighbors,a2e0486,0.9407407407407408,0.0,0.0,0.0,0.494750656167979,0.800524934383202,0.041666666666666664,0,0,381,24,0,24,0,405,24
Linear SVM,a2e0486,0.7950617283950617,0.12631578947368421,0.08450704225352113,0.25,0.4238845144356956,0.9448818897637795,0.08333333333333333,6,65,316,18,6,18,65,405,24
RBF SVM,a2e0486,0.5111111111111111,0.09174311926605505,0.05154639175257732,0.4166666666666667,0.510936132983377,0.9553805774278216,0.08333333333333333,10,184,197,14,10,14,184,405,24
Decision Tree,a2e0486,0.8839506172839506,0.0,0.0,0.0,0.46981627296587924,0.8057742782152231,0.041666666666666664,0,23,358,24,0,24,23,405,24
Random Forest,a2e0486,0.9407407407407408,0.0,0.0,0.0,0.5361439195100612,0.8713910761154856,0.20833333333333334,0,0,381,24,0,24,0,405,24
AdaBoost,a2e0486,0.9407407407407408,0.0,0.0,0.0,0.5436898512685914,0.868766404199475,0.08333333333333333,0,0,381,24,0,24,0,405,24
