model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Linear Classifier (Logistic Regression),2620a05,0.43950617283950616,0.34202898550724636,0.2114695340501792,0.8939393939393939,0.6292348261374812,0.6637168141592921,0.12121212121212122,59,220,119,7,59,7,220,405,66
Nearest Neighbors,2620a05,0.7481481481481481,0.07272727272727272,0.09090909090909091,0.06060606060606061,0.5168052203450433,0.9233038348082596,0.045454545454545456,4,40,299,62,4,62,40,405,66
Linear SVM,2620a05,0.454320987654321,0.3402985074626866,0.21189591078066913,0.8636363636363636,0.6270894788593904,0.7138643067846607,0.09090909090909091,57,212,127,9,57,9,212,405,66
RBF SVM,2620a05,0.34074074074074073,0.3171355498721228,0.19076923076923077,0.9393939393939394,0.6467998569768482,0.6873156342182891,0.09090909090909091,62,263,76,4,62,4,263,405,66
Decision Tree,2620a05,0.45185185185185184,0.31901840490797545,0.2,0.7878787878787878,0.5739027442567265,0.8997050147492626,0.045454545454545456,52,208,131,14,52,14,208,405,66
Random Forest,2620a05,0.8345679012345679,0.0,0.0,0.0,0.658465182801466,0.7551622418879056,0.15151515151515152,0,1,338,66,0,66,1,405,66
AdaBoost,2620a05,0.5925925925925926,0.3153526970954357,0.21714285714285714,0.5757575757575758,0.5789532493072317,0.7876106194690266,0.13636363636363635,38,137,202,28,38,28,137,405,66
Naive Bayes,2620a05,0.6839506172839506,0.2289156626506024,0.19,0.2878787878787879,0.5737686600518459,0.7610619469026548,0.12121212121212122,19,81,258,47,19,47,81,405,66
Linear Classifier (Logistic Regression),a2e0486,0.4024691358024691,0.22435897435897437,0.13409961685823754,0.6862745098039216,0.48471252907942836,0.8361581920903954,0.0784313725490196,35,226,128,16,35,16,226,405,51
Nearest Neighbors,a2e0486,0.8419753086419753,0.030303030303030304,0.06666666666666667,0.0196078431372549,0.5063697795502381,0.8954802259887006,0.0392156862745098,1,14,340,50,1,50,14,405,51
Linear SVM,a2e0486,0.43209876543209874,0.23333333333333334,0.14056224899598393,0.6862745098039216,0.49102691924227315,0.8728813559322034,0.09803921568627451,35,214,140,16,35,16,214,405,51
RBF SVM,a2e0486,0.2123456790123457,0.2123456790123457,0.12146892655367232,0.8431372549019608,0.4798936523762047,0.8898305084745762,0.058823529411764705,43,311,43,8,43,8,311,405,51
Decision Tree,a2e0486,0.5160493827160494,0.216,0.135678391959799,0.5294117647058824,0.5168106790738894,0.8926553672316384,0.0784313725490196,27,172,182,24,27,24,172,405,51
Random Forest,a2e0486,0.8740740740740741,0.0,0.0,0.0,0.5030187216129389,0.9689265536723164,0.09803921568627451,0,0,354,51,0,51,0,405,51
AdaBoost,a2e0486,0.8197530864197531,0.0759493670886076,0.10714285714285714,0.058823529411764705,0.4808629666555888,0.8502824858757062,0.0784313725490196,3,25,329,48,3,48,25,405,51
Naive Bayes,a2e0486,0.691358024691358,0.14965986394557823,0.11458333333333333,0.21568627450980393,0.4817215021601861,0.9067796610169492,0.09803921568627451,11,85,269,40,11,40,85,405,51
Linear Classifier (Logistic Regression),b2c53ee,0.7296587926509186,0.21374045801526717,0.15384615384615385,0.35,0.6696114369501467,0.5483870967741935,0.25,14,77,264,26,14,26,77,381,40
Nearest Neighbors,b2c53ee,0.8818897637795275,0.0425531914893617,0.14285714285714285,0.025,0.49112903225806454,0.8914956011730205,0.125,1,6,335,39,1,39,6,381,40
Linear SVM,b2c53ee,0.6719160104986877,0.24242424242424243,0.16,0.5,0.6578812316715543,0.6686217008797654,0.25,20,105,236,20,20,20,105,381,40
RBF SVM,b2c53ee,0.5538057742782152,0.2796610169491525,0.1683673469387755,0.825,0.6828812316715542,0.5190615835777126,0.2,33,163,178,7,33,7,163,381,40
Decision Tree,b2c53ee,0.49868766404199477,0.15859030837004406,0.0962566844919786,0.45,0.4730571847507331,0.8826979472140762,0.05,18,169,172,22,18,22,169,381,40
Random Forest,b2c53ee,0.89501312335958,0.0,0.0,0.0,0.5330278592375366,0.7976539589442815,0.125,0,0,341,40,0,40,0,381,40
AdaBoost,b2c53ee,0.8661417322834646,0.10526315789473684,0.17647058823529413,0.075,0.5233137829912023,0.7272727272727273,0.1,3,14,327,37,3,37,14,381,40
Naive Bayes,b2c53ee,0.7900262467191601,0.3220338983050847,0.24358974358974358,0.475,0.7446847507331378,0.5454545454545454,0.375,19,59,282,21,19,21,59,381,40
Linear Classifier (Logistic Regression),33fe84e,0.6426799007444168,0.08860759493670886,0.0546875,0.23333333333333334,0.3694816800714924,0.9731903485254692,0.06666666666666667,7,121,252,23,7,23,121,403,30
Nearest Neighbors,33fe84e,0.9032258064516129,0.04878048780487805,0.09090909090909091,0.03333333333333333,0.49562109025916,0.9088471849865952,0.06666666666666667,1,10,363,29,1,29,10,403,30
Linear SVM,33fe84e,0.7270471464019851,0.06779661016949153,0.045454545454545456,0.13333333333333333,0.6102323503127792,0.8337801608579088,0.2,4,84,289,26,4,26,84,403,30
RBF SVM,33fe84e,0.7096774193548387,0.13333333333333333,0.08571428571428572,0.3,0.41005361930294904,0.900804289544236,0.06666666666666667,9,96,277,21,9,21,96,403,30
Decision Tree,33fe84e,0.7047146401985112,0.048,0.031578947368421054,0.1,0.39749776586237706,0.8820375335120644,0.0,3,92,281,27,3,27,92,403,30
Random Forest,33fe84e,0.9230769230769231,0.0,0.0,0.0,0.5338695263628239,0.8096514745308311,0.1,0,1,372,30,0,30,1,403,30
AdaBoost,33fe84e,0.9205955334987593,0.0,0.0,0.0,0.4864164432529044,0.8847184986595175,0.06666666666666667,0,2,371,30,0,30,2,403,30
Naive Bayes,33fe84e,0.9255583126550868,0.0,0.0,0.0,0.4497319034852547,0.9329758713136729,0.1,0,0,373,30,0,30,0,403,30
Linear Classifier (Logistic Regression),24a22bf,0.6311881188118812,0.354978354978355,0.22527472527472528,0.8367346938775511,0.785426846795056,0.5492957746478874,0.32653061224489793,41,141,214,8,41,8,141,404,49
Nearest Neighbors,24a22bf,0.8168316831683168,0.24489795918367346,0.24489795918367346,0.24489795918367346,0.6260419660822075,0.6281690140845071,0.24489795918367346,12,37,318,37,12,37,37,404,49
